MJD,Temperature [mdC]
57933.90042,44226
57933.90043,44226
57933.90044,44226
57933.90045,44226
57933.90047,44226
57933.90048,44226
57933.90049,44222
57933.9005,44222
57933.90051,44222
57933.90052,44222
57933.90053,44222
57933.90055,44222
57933.90056,44222
57933.90057,44218
57933.90058,44218
57933.90059,44218
57933.9006,44218
57933.90062,44218
57933.90063,44218
57933.90064,44214
57933.90065,44214
57933.90066,44214
57933.90067,44214
57933.90069,44214
57933.9007,44214
57933.90071,44214
57933.90072,44214
57933.90073,44214
57933.90074,44214
57933.90075,44214
57933.90077,44214
57933.90078,44214
57933.90079,44210
57933.9008,44210
57933.90081,44210
57933.90082,44210
57933.90084,44214
57933.90085,44214
57933.90086,44210
57933.90087,44210
57933.90088,44214
57933.90089,44210
57933.90091,44214
57933.90092,44214
57933.90093,44214
57933.90094,44214
57933.90095,44210
57933.90096,44210
57933.90097,44210
57933.90099,44210
57933.901,44210
57933.90101,44210
57933.90102,44210
57933.90103,44210
57933.90104,44210
57933.90106,44210
57933.90107,44210
57933.90108,44210
57933.90109,44210
57933.9011,44210
57933.90111,44210
57933.90112,44210
57933.90114,44214
57933.90115,44210
57933.90116,44210
57933.90117,44210
57933.90118,44210
57933.90119,44214
57933.90121,44214
57933.90122,44214
57933.90123,44214
57933.90124,44214
57933.90125,44214
57933.90126,44210
57933.90128,44210
57933.90129,44210
57933.9013,44210
57933.90131,44214
57933.90132,44214
57933.90133,44214
57933.90134,44210
57933.90136,44210
57933.90137,44214
57933.90138,44210
57933.90139,44214
57933.9014,44214
57933.90141,44214
57933.90143,44210
57933.90144,44214
57933.90145,44214
57933.90146,44210
57933.90147,44210
57933.90148,44214
57933.9015,44214
57933.90151,44210
57933.90152,44210
57933.90153,44210
57933.90154,44214
57933.90155,44214
57933.90156,44210
57933.90158,44214
57933.90159,44214
57933.9016,44214
57933.90161,44214
57933.90162,44210
57933.90163,44214
57933.90165,44210
57933.90166,44210
57933.90167,44210
