Time(s),S21(MAG),S21(DEG)
3948.48,1.0062617,-0.36786219
3957.12,1.0054917,-0.2707994
3965.76,1.0061076,-0.27932626
3974.4,1.0038525,-0.21865052
3983.04,1.0047878,-0.34147096
3991.68,1.0045617,-0.37794253
4000.32,1.0027335,-0.28266433
4008.96,1.0038881,-0.37753418
4017.6,1.0039241,-0.33468625
4026.24,1.0022247,-0.2528978
4034.88,1.0050194,-0.41602439
4043.52,1.0018733,-0.37350127
4052.16,1.0028148,-0.20591028
4060.8,1.0017486,-0.27465424
4069.44,1.0014954,-0.29484755
4078.08,1.0040052,-0.2009313
4086.72,1.0039599,-0.32777283
4095.36,1.0024735,-0.11405477
4104,1.0052822,-0.20956238
4112.64,1.0025462,-0.17818429
4121.28,1.0036947,-0.085430562
4129.92,1.005259,0.045193765
4138.56,1.0049075,0.025468407
4147.2,1.0055649,-0.20109314
4155.84,1.0052841,-0.12426497
4164.48,1.0046242,-0.05420946
4173.12,1.002403,-0.048556905
4181.76,1.001745,-0.21460924
4190.4,1.0051309,-0.29480642
4199.04,1.0051336,-0.32285428
4207.68,1.0030571,-0.28198746
4216.32,1.003179,-0.48145765
4224.96,1.0019891,-0.36819771
4233.6,1.0031085,-0.39969301
4242.24,1.0051447,-0.25960752
4250.88,1.0059782,-0.21227179
4259.52,1.006564,-0.34209299
4268.16,1.0056605,-0.28357813
4276.8,1.0052288,-0.28710169
4285.44,1.0043099,-0.27683592
4294.08,1.0052831,-0.28906536
4302.72,1.0052929,-0.43991351
4311.36,1.0036117,-0.40550539
4320,1.0027964,-0.53148854
4328.64,1.0032489,-0.36043054
4337.28,1.0028052,-0.49525633
4345.92,1.0037488,-0.62403882
4354.56,1.0029843,-0.64452618
4363.2,1.0025941,-0.58860034
4371.84,1.0020301,-0.6456961
4380.48,1.0021642,-0.60779321
4389.12,1.0033078,-0.62912875
4397.76,1.0028371,-0.63541329
4406.4,1.0021905,-0.58683473
4415.04,1.0071315,-0.51912516
4423.68,1.0048826,-0.5204649
4432.32,1.0073936,-0.52101707
4440.96,1.0078826,-0.65917975
4449.6,1.0052689,-0.62687075
4458.24,1.0062279,-0.49096078
4466.88,1.0038127,-0.70330864
4475.52,1.0057687,-0.83892542
4484.16,1.0028361,-0.72628886
4492.8,1.001986,-0.77796823
4501.44,1.0047244,-0.87067378
4510.08,1.004222,-0.75198793
4518.72,1.0033011,-0.88640243
4527.36,1.0033337,-0.6396566
4536,1.0062032,-0.72864342
4544.64,1.0059881,-0.72898173
4553.28,1.0071249,-0.92510247
4561.92,1.0071546,-1.0192717
4570.56,1.0071888,-0.95765787
4579.2,1.006757,-0.95778573
4587.84,1.0044253,-1.1550761
4596.48,1.0034131,-1.1580052
4605.12,1.004549,-1.2952415
4613.76,1.0047854,-1.2866505
4622.4,1.0030237,-1.1705457
4631.04,1.0042956,-1.2919458
4639.68,1.004616,-1.4458423
