Time(s),S21(MAG),S21(DEG)
1558.8,0.99911672,-13.691652
1562.4,0.99670345,-13.636954
1566,0.99778253,-13.705903
1569.6,0.99720001,-13.709183
1573.2,0.9994989,-13.735952
1576.8,0.99779922,-13.917122
1580.4,0.99690628,-13.929374
1584,0.99561059,-13.991782
1587.6,0.99636769,-14.024342
1591.2,0.99800789,-13.91077
1594.8,0.99994969,-14.103074
1598.4,0.99729657,-14.032029
1602,0.99699974,-14.070823
1605.6,0.99679255,-14.232905
1609.2,0.99787885,-14.325248
1612.8,0.99999869,-14.3025
1616.4,0.99901611,-14.172533
1620,0.99896228,-14.392105
1623.6,0.99812937,-14.492128
1627.2,0.99806529,-14.522555
1630.8,0.99745005,-14.455537
1634.4,0.99713308,-14.654968
1638,0.99713606,-14.509295
1641.6,0.99871135,-14.742033
1645.2,0.9994629,-14.738577
1648.8,1.0021003,-14.830378
1652.4,0.99851543,-14.908997
1656,0.99929404,-14.802959
1659.6,0.99882549,-14.862049
1663.2,1.000258,-14.961629
1666.8,1.0003806,-15.16726
1670.4,0.99836481,-15.113364
1674,0.9976244,-15.171213
1677.6,0.99746227,-15.313644
1681.2,0.99580246,-15.120669
1684.8,0.99963647,-15.274244
1688.4,0.99989176,-15.277411
1692,1.0005685,-15.269711
1695.6,0.99924123,-15.376836
1699.2,0.99843872,-15.374756
1702.8,0.99837005,-15.391231
1706.4,0.99883562,-15.525722
1710,0.99578357,-15.576842
1713.6,0.99774694,-15.602327
1717.2,1.0003004,-15.65434
1720.8,0.99983203,-15.72191
1724.4,1.0014551,-15.797337
1728,0.99993408,-15.594304
1731.6,1.0001075,-15.645873
1735.2,1.0008672,-15.701377
1738.8,0.99937755,-15.832867
1742.4,0.99833673,-15.884073
1746,0.99686575,-15.800707
1749.6,0.99472964,-15.730751
1753.2,0.99744648,-15.8623
1756.8,0.99740785,-15.761744
1760.4,1.0000348,-15.823547
1764,0.99833131,-15.819912
1767.6,1.0002413,-15.893857
